  amax   Mstar      Mdot  Rd     Q      Md
    mm    Msun   Msun/yr  AU          Msun
=========================================
1.00e-01  0.50  1.00e-06  40  0.75  1.0931
1.00e-01  0.50  1.00e-06  40  0.30  7.0264
1.00e-01  0.50  1.00e-07  40  1.50  0.2981
1.00e-01  0.50  1.00e-07  40  1.00  0.5327
1.00e-01  0.50  1.00e-07  40  0.50  1.7502
1.00e-01  0.50  1.00e-07  40  0.75  0.8339
1.00e-01  0.50  1.00e-07  40  0.30  5.2521
1.00e-01  0.50  1.00e-08  40  1.50  0.2374
1.00e-01  0.50  1.00e-08  40  1.00  0.4093
1.00e-01  0.50  1.00e-08  40  0.50  1.2352
1.00e-01  0.50  1.00e-08  40  0.75  0.6274
1.00e-01  0.50  1.00e-08  40  0.30  3.5492
1.00e-02  0.50  1.00e-05  40  1.50  0.4250
1.00e-02  0.50  1.00e-05  40  1.00  0.7931
1.00e-02  0.50  1.00e-05  40  0.50  2.9564
1.00e-02  0.50  1.00e-05  40  0.75  1.3259
1.00e-02  0.50  1.00e-05  40  0.30  8.5587
1.00e-02  0.50  1.00e-06  40  1.50  0.3421
1.00e-02  0.50  1.00e-06  40  1.00  0.6274
1.00e-02  0.50  1.00e-06  40  0.50  2.3078
1.00e-02  0.50  1.00e-06  40  0.75  1.0303
1.00e-02  0.50  1.00e-06  40  0.30  7.4944
1.00e-02  0.50  1.00e-07  40  1.50  0.2741
1.00e-02  0.50  1.00e-07  40  1.00  0.4847
1.00e-02  0.50  1.00e-07  40  0.50  1.6051
1.00e-02  0.50  1.00e-07  40  0.75  0.7633
1.00e-02  0.50  1.00e-07  40  0.30  5.1835
1.00e-02  0.50  1.00e-08  40  1.50  0.2180
1.00e-02  0.50  1.00e-08  40  1.00  0.3713
1.00e-02  0.50  1.00e-08  40  0.50  1.1166
1.00e-02  0.50  1.00e-08  40  0.75  0.5657
1.00e-02  0.50  1.00e-08  40  0.30  3.2368
