  amax   Mstar      Mdot  Rd    Q      Md
    mm    Msun   Msun/yr  AU         Msun
=========================================
5.00e-01  0.50  5.00e-05  40  0.8  1.2513
5.00e-01  0.50  5.00e-05  40  0.7  1.5770
5.00e-01  0.50  5.00e-05  40  0.6  2.1243
5.00e-01  0.50  5.00e-05  40  0.5  3.0327
5.00e-01  0.50  5.00e-05  40  0.4  4.8553
5.00e-01  0.50  5.00e-05  40  0.3  8.6076
5.00e-01  0.50  1.00e-06  40  0.8  0.9321
5.00e-01  0.50  1.00e-06  40  0.7  1.1584
5.00e-01  0.50  1.00e-06  40  0.6  1.5300
5.00e-01  0.50  1.00e-06  40  0.5  2.1647
5.00e-01  0.50  1.00e-06  40  0.4  3.4218
5.00e-01  0.50  1.00e-06  40  0.3  6.4738
3.00e-01  0.50  1.00e-04  40  0.8  1.3141
3.00e-01  0.50  1.00e-04  40  0.7  1.6574
3.00e-01  0.50  1.00e-04  40  0.6  2.2341
3.00e-01  0.50  1.00e-04  40  0.5  3.1739
3.00e-01  0.50  1.00e-04  40  0.4  4.8590
3.00e-01  0.50  1.00e-04  40  0.3  8.3599
3.00e-01  0.50  5.00e-04  40  0.8  1.3306
3.00e-01  0.50  5.00e-04  40  0.7  1.6794
3.00e-01  0.50  5.00e-04  40  0.6  2.2070
3.00e-01  0.50  5.00e-04  40  0.5  3.1766
3.00e-01  0.50  5.00e-04  40  0.4  4.5659
3.00e-01  0.50  5.00e-04  40  0.3  6.7029
3.00e-01  0.50  1.00e-05  40  0.8  1.1462
3.00e-01  0.50  1.00e-05  40  0.7  1.4450
3.00e-01  0.50  1.00e-05  40  0.6  1.9298
3.00e-01  0.50  1.00e-05  40  0.5  2.7835
3.00e-01  0.50  1.00e-05  40  0.4  4.4465
3.00e-01  0.50  1.00e-05  40  0.3  8.3328
3.00e-01  0.50  5.00e-05  40  0.8  1.2635
3.00e-01  0.50  5.00e-05  40  0.7  1.6139
3.00e-01  0.50  5.00e-05  40  0.6  2.1433
3.00e-01  0.50  5.00e-05  40  0.5  3.0844
3.00e-01  0.50  5.00e-05  40  0.4  4.8493
3.00e-01  0.50  5.00e-05  40  0.3  8.5906
3.00e-01  0.50  1.00e-06  40  0.8  0.9507
3.00e-01  0.50  1.00e-06  40  0.7  1.1938
3.00e-01  0.50  1.00e-06  40  0.6  1.5807
3.00e-01  0.50  1.00e-06  40  0.5  2.2374
3.00e-01  0.50  1.00e-06  40  0.4  3.5162
3.00e-01  0.50  1.00e-06  40  0.3  6.6982
1.00e-01  0.50  1.00e-04  40  0.8  1.3187
1.00e-01  0.50  1.00e-04  40  0.7  1.6861
1.00e-01  0.50  1.00e-04  40  0.6  2.2311
1.00e-01  0.50  1.00e-04  40  0.5  3.1891
1.00e-01  0.50  1.00e-04  40  0.4  4.8757
1.00e-01  0.50  1.00e-04  40  0.3  8.1373
1.00e-01  0.50  5.00e-04  40  0.8  1.3241
1.00e-01  0.50  5.00e-04  40  0.7  1.6645
1.00e-01  0.50  5.00e-04  40  0.6  2.1837
1.00e-01  0.50  5.00e-04  40  0.5  3.0337
1.00e-01  0.50  5.00e-04  40  0.4  4.3771
1.00e-01  0.50  5.00e-04  40  0.3  6.0086
1.00e-01  0.50  1.00e-05  40  0.8  1.1722
1.00e-01  0.50  1.00e-05  40  0.7  1.4980
1.00e-01  0.50  1.00e-05  40  0.6  1.9973
